ID,Type,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AT,CLOUD
1,Train,0.0061,0.0131,0.0121,0.008,0.0081,0.0056,0.0087,0.0058,0.0051,0.0069,0.0111,0.0094,1,6.6
3,Train,0.0051,0.017999999,0.016000001,0.0112,0.0106,0.0087,0.0095,0.0098,0.0083,0.0052,0.0109,0.008,1,6.6
5,Train,0.023800001,0.0125,0.021,0.020500001,0.041299999,0.044300001,0.047800001,0.0242,0.0363,0.033300001,0.045400001,0.047899999,1,6.6
7,Train,0.0053,0.0137,0.0121,0.0092,0.0068,0.0065,0.0058,0.0077,0.0081,0.0059,0.0095,0.0073,1,6.6
9,Train,0.0072,0.018100001,0.0173,0.0117,0.0104,0.0065,0.0119,0.0104,0.0098,0.008,0.0103,0.011,1,6.6
11,Train,0.004,0.0105,0.0111,0.006,0.006,0.002,0.0044,0.0045,0.0027,0.0041,0.0092,0.0074,1,6.6
13,Train,0.0072,0.015799999,0.0124,0.011,0.0096,0.0079,0.0097,0.0099,0.0066,0.008,0.012,0.0093,1,6.6
15,Train,0.0065,0.0125,0.0118,0.0101,0.0096,0.0068,0.0073,0.0078,0.0072,0.0047,0.0107,0.0104,1,6.6
17,Train,0.004,0.0089,0.01,0.0067,0.0063,0.0028,0.0054,0.0034,0.0031,0.0041,0.0097,0.0085,1,6.6
19,Train,0.0072,0.019099999,0.0147,0.0109,0.0105,0.0063,0.0117,0.0116,0.0096,0.008,0.0121,0.0101,1,6.6
21,Train,0.0093,0.017100001,0.017200001,0.0119,0.0093,0.0095,0.0109,0.0101,0.0094,0.0153,0.0137,0.0107,1,6.6
23,Train,0.0067,0.0139,0.0134,0.0103,0.0083,0.0067,0.007,0.0064,0.007,0.0175,0.0088,0.0092,1,6.6
25,Train,0.0072,0.018100001,0.0177,0.0114,0.0104,0.0065,0.0119,0.0108,0.0098,0.008,0.0103,0.011,1,6.6
27,Train,0.0094,0.020400001,0.016000001,0.0126,0.0105,0.0082,0.0123,0.0126,0.0112,0.016100001,0.014,0.0112,1,6.6
29,Train,0.0051,0.0196,0.014,0.0114,0.0106,0.0087,0.0095,0.0096,0.0083,0.0052,0.0109,0.008,1,6.6
31,Train,0.0385,0.023,0.029200001,0.022299999,0.0186,0.019200001,0.0228,0.021500001,0.0218,0.0986,0.0253,0.021500001,1,6.6
33,Train,0.0093,0.017100001,0.017200001,0.0119,0.0093,0.0095,0.0109,0.0101,0.0094,0.0153,0.0137,0.0107,1,6.6
35,Train,0.0037,0.0108,0.0098,0.0063,0.0056,0.0029,0.0048,0.003,0.0022,0.0035,0.0096,0.0085,1,6.6
37,Train,0.0065,0.015,0.0128,0.0104,0.0096,0.0068,0.0073,0.0073,0.0072,0.0047,0.0107,0.0104,1,6.6
39,Train,0.0134,0.0241,0.021500001,0.018999999,0.0176,0.0145,0.019300001,0.018300001,0.0149,0.0495,0.02,0.017100001,1,6.6
41,Train,0.0093,0.0196,0.0174,0.0135,0.0093,0.0095,0.0109,0.012,0.0094,0.0153,0.0137,0.0107,1,6.6
43,Train,0.0045,0.0165,0.0111,0.007,0.0073,0.0037,0.0066,0.0061,0.0042,0.0033,0.0088,0.0077,1,6.6
45,Train,0.0057,0.015,0.0144,0.0117,0.0122,0.0099,0.0133,0.011,0.0121,0.0083,0.015900001,0.0128,1,6.6
47,Train,0.0075,0.0145,0.0146,0.0097,0.0119,0.0059,0.0099,0.0077,0.0077,0.0076,0.01,0.0083,1,6.6
49,Train,0.0057,0.0152,0.016000001,0.0094,0.0101,0.0076,0.0109,0.0097,0.0097,0.0083,0.0139,0.0116,1,6.6
51,Train,0.0055,0.0134,0.0122,0.0069,0.0072,0.0049,0.0048,0.0048,0.0046,0.0058,0.0099,0.0072,1,6.6
53,Train,0.0041,0.0164,0.0138,0.0083,0.0082,0.0056,0.0074,0.0059,0.0046,0.005,0.0108,0.0076,1,6.6
55,Train,0.0041,0.0113,0.0102,0.0071,0.006,0.0039,0.0045,0.0045,0.0023,0.0038,0.0088,0.0067,1,6.6
57,Train,0.004,0.0107,0.0107,0.0077,0.0071,0.0045,0.0082,0.0054,0.0039,0.022399999,0.0143,0.0137,1,6.6
59,Train,0.0134,0.0261,0.021500001,0.0198,0.020199999,0.019200001,0.019400001,0.0188,0.0184,0.0495,0.0239,0.019400001,1,6.6
61,Train,0.004,0.0105,0.0088,0.0076,0.0066,0.0034,0.0047,0.0049,0.0036,0.022399999,0.0146,0.0104,1,6.6
63,Train,0.0041,0.0113,0.0124,0.0064,0.0065,0.0031,0.0033,0.0043,0.0028,0.0038,0.0084,0.0069,1,6.6
